domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
pain,2011-2013,F1,P2,D,0.0151485641890225,0.0160992368200558,0.012224840691287,0.0229597356793475,5000
pain,2011-2013,F2,P0,P0,0.5887279223617349,0.5861869487076272,0.5581664695664407,0.6102015959457587,5000
pain,2011-2013,F2,P0,P1,0.1731218346377516,0.1713801562643656,0.157710850567535,0.1871665174442992,5000
pain,2011-2013,F2,P0,P2,0.2022118662726913,0.2046166505691943,0.1844620657638645,0.2360383420653059,5000
pain,2011-2013,F2,P0,D,0.035938376727822,0.0366025089172041,0.0288251725581019,0.0469928923611674,5000
pain,2011-2013,F2,P1,P0,0.5004011091873103,0.4963175355893183,0.4515726987013501,0.5454068230975345,5000
pain,2011-2013,F2,P1,P1,0.2253250369744333,0.2231628759552232,0.1843101845390984,0.2810877590177681,5000
pain,2011-2013,F2,P1,P2,0.2502731111506537,0.2470520954877694,0.2097727774166515,0.3146885683973853,5000
pain,2011-2013,F2,P1,D,0.0240007426876024,0.0250275347107079,0.0188077751365195,0.0401008266248496,5000
pain,2011-2013,F2,P2,P0,0.4101421088550256,0.4117896585365109,0.3808056760918165,0.4532877006737149,5000
pain,2011-2013,F2,P2,P1,0.1982435458000112,0.1952953597545687,0.1691598625468225,0.2328834134987231,5000
pain,2011-2013,F2,P2,P2,0.3688534986643137,0.366912945725972,0.3264059366916504,0.4002536812157156,5000
pain,2011-2013,F2,P2,D,0.0227608466806498,0.023835895026965,0.0188153311069833,0.0322150098161909,5000
pain,2013-2015,F0,P0,P0,0.8083505673039421,0.8086436608942134,0.7990451646530777,0.8181019875255279,5000
pain,2013-2015,F0,P0,P1,0.0456153164323843,0.0455223062995854,0.0418357690176246,0.0497671062105306,5000
pain,2013-2015,F0,P0,P2,0.134374765314218,0.1332826838256658,0.1249806200667504,0.1420082245019342,5000
pain,2013-2015,F0,P0,D,0.0116593509494551,0.0122184774586209,0.0101840613528179,0.0163507758987045,5000
pain,2013-2015,F0,P1,P0,0.6827850840401094,0.6833887997746178,0.65102532054104,0.7116156155778792,5000
