domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
function,2011-2013,P2,F0,F1,0.1050360359114196,0.1044082221388822,0.0950839612758825,0.1146876379932227,5000
function,2011-2013,P2,F0,F2,0.1880842807672973,0.1874777527511878,0.1746278887821804,0.2020003544708747,5000
function,2011-2013,P2,F0,D,0.0076898922463068,0.0087967952358945,0.0061237776610204,0.0219469558183835,5000
function,2011-2013,P2,F1,F0,0.5717369321286733,0.5687290067303857,0.5311817869008614,0.6045594972208468,5000
function,2011-2013,P2,F1,F1,0.1781541482614149,0.1756676351349319,0.149730922519898,0.2060112028360784,5000
function,2011-2013,P2,F1,F2,0.2373021569633392,0.2356502729445146,0.2096427289338178,0.2644140474201417,5000
function,2011-2013,P2,F1,D,0.0128067626465727,0.0140325423671325,0.0094211218507465,0.0604297398976942,5000
function,2011-2013,P2,F2,F0,0.452968807286395,0.452335767094707,0.4208888711752055,0.4903021051881872,5000
function,2011-2013,P2,F2,F1,0.1034756345381421,0.1026823338261019,0.0890970445815686,0.1207844344662371,5000
function,2011-2013,P2,F2,F2,0.4181462030588577,0.4167221311570778,0.3851954679098736,0.4466417916398775,5000
function,2011-2013,P2,F2,D,0.0254093551166053,0.0265141439861131,0.0214160348404695,0.0350795953280556,5000
function,2013-2015,P0,F0,F0,0.8017606248894859,0.801027695011492,0.7920464564640779,0.8096659478591504,5000
function,2013-2015,P0,F0,F1,0.0809071711696352,0.0804271173432481,0.0739369671735937,0.0865717420764167,5000
function,2013-2015,P0,F0,F2,0.1052573003837205,0.1050260154167588,0.0984467687878374,0.1116390408516762,5000
function,2013-2015,P0,F0,D,0.0120749035571584,0.0129452105134819,0.0103313959741206,0.0205439560486072,5000
function,2013-2015,P0,F1,F0,0.5993258055177036,0.5952979882060233,0.5525129717078,0.6292781269370069,5000
function,2013-2015,P0,F1,F1,0.1808620485931459,0.1784330279620214,0.1481331662881553,0.2074270129013213,5000
function,2013-2015,P0,F1,F2,0.202542771998811,0.2004276336786114,0.1730471384981584,0.2279596601939887,5000
function,2013-2015,P0,F1,D,0.0172693738903403,0.0175552578846614,0.01226486343859,0.1001442067059403,5000
function,2013-2015,P0,F2,F0,0.3942634566549732,0.3943182646906779,0.3677246382891854,0.4268897211155096,5000
function,2013-2015,P0,F2,F1,0.1056888994364179,0.104620846374987,0.0857865751757305,0.1276515705892128,5000
function,2013-2015,P0,F2,F2,0.4729857401207797,0.4703852187947125,0.4422222929993449,0.4979258786492899,5000
function,2013-2015,P0,F2,D,0.0270619037878292,0.0284866332363109,0.022697863475014,0.0416172016074945,5000
function,2013-2015,P1,F0,F0,0.7287625817944583,0.7274063367445158,0.7101476904872671,0.744765589799951,5000
