domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
pain,2013-2015,F0,P0,P0,0.8083505673039421,0.8086436608942134,0.7990451646530777,0.8181019875255279,5000
pain,2013-2015,F0,P0,P1,0.04561531643238439,0.04552230629958541,0.041835769017624654,0.04976710621053067,5000
pain,2013-2015,F0,P0,P2,0.134374765314218,0.1332826838256658,0.12498062006675045,0.14200822450193426,5000
pain,2013-2015,F0,P0,D,0.01165935094945519,0.012218477458620957,0.010184061352817974,0.016350775898704595,5000
pain,2013-2015,F0,P1,P0,0.6827850840401094,0.6833887997746178,0.65102532054104,0.7116156155778792,5000
pain,2013-2015,F0,P1,P1,0.048969573952871846,0.04891246189357131,0.044381944752346206,0.05490518641744628,5000
pain,2013-2015,F0,P1,P2,0.25583880284117677,0.2534931678109754,0.2273398164592298,0.2818915794667804,5000
pain,2013-2015,F0,P1,D,0.01240653916584204,0.0128098778917999,0.010517295840651772,0.027550528793130323,5000
pain,2013-2015,F0,P2,P0,0.524267010569428,0.5259908276298112,0.4979495199006025,0.5567619599999886,5000
pain,2013-2015,F0,P2,P1,0.05351226580204939,0.053235685736644084,0.045723359673170615,0.06305118194466541,5000
pain,2013-2015,F0,P2,P2,0.41339513826707674,0.4105082262215106,0.3749091005935592,0.4415183074262249,5000
pain,2013-2015,F0,P2,D,0.008825585361445492,0.009463293314050648,0.007493736421888849,0.015985549444341284,5000
pain,2013-2015,F1,P0,P0,0.7204605606249468,0.7211520610584914,0.690161348228804,0.7481158130285527,5000
pain,2013-2015,F1,P0,P1,0.04832580379706141,0.0480194745094176,0.04159597523412124,0.05556812058657041,5000
pain,2013-2015,F1,P0,P2,0.21221852352879178,0.20922080962888517,0.1833578158501109,0.23852499292092888,5000
pain,2013-2015,F1,P0,D,0.018995112049199982,0.020392026544292355,0.015408220613660636,0.03249294715048007,5000
pain,2013-2015,F1,P1,P0,0.5446216489090914,0.5441902942399475,0.5025699078883293,0.5872384181785955,5000
pain,2013-2015,F1,P1,P1,0.050719126216839806,0.05054013973104399,0.04404598961117795,0.05828121470159028,5000
pain,2013-2015,F1,P1,P2,0.3869490044423562,0.3826290996038553,0.33974902940226154,0.42182135380206864,5000
pain,2013-2015,F1,P1,D,0.017710220431711856,0.019669100364515486,0.015241272683776983,0.051755690502901436,5000
pain,2013-2015,F1,P2,P0,0.426437656751115,0.4283153359347433,0.39547019512630993,0.4641678724101618,5000
