analysis,domain,pathway,hr,people,intervals,model,parameters,negative_log_likelihood,optimizer_success,optimizer_message,iterations,max_abs_gradient,active_bound_parameters,elapsed_seconds,max_abs_projected_gradient,active_bound_indices,missing_weights,weight_only_deaths_reclassified
cross-sectional-weighted,function,"F0->F2, P2 vs P0",2.3668027719215825,20614,60621,full,126,45636.41975987009,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,587,0.000845817604044,0,375.52,0.000845817604044,,1514.0,
strict-complete-11-item-function,function,"F0->F2, P2 vs P0",1.6997157887799879,17682,42468,full,126,36114.2584804918,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,472,0.0003571038025790285,0,240.41,0.0003571038025790285,,,
2013-exit-interview-deaths-only,function,"F0->F2, P2 vs P0",2.1779079113705904,21206,62106,full,126,47451.8435954789,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,500,0.000747794645339,0,329.81,0.000747794645339,,,31.0
leave-2013-out,function,"F0->F2, P2 vs P0",2.1373819358081905,20039,46851,full,117,37091.178880140054,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,626,0.002605540212719,1,305.94,0.0002326465947012,102.0,,
